track_name,last_played_date,is_user_initiated,artist_name,track_name_clean
James Horner - Epilogue - The Deep and Timeless Sea (Voice),1740152420714,False,James Horner - Epilogue,The Deep and Timeless Sea (Voice)
James Horner - Epilogue - The Deep and Timeless Sea (Voice),1740152420714,True,James Horner - Epilogue,The Deep and Timeless Sea (Voice)
I Salonisti - Valse Septembre,1740152642012,False,I Salonisti,Valse Septembre
I Salonisti - Valse Septembre,1740152642012,True,I Salonisti,Valse Septembre
I Salonisti - Marguerite Waltz,1740152797990,False,I Salonisti,Marguerite Waltz
I Salonisti - Marguerite Waltz,1740152797990,True,I Salonisti,Marguerite Waltz
I Salonisti - Wedding Dance,1740152950463,False,I Salonisti,Wedding Dance
I Salonisti - Wedding Dance,1740152950463,True,I Salonisti,Wedding Dance
I Salonisti - Poet and Peasant,1740156913593,False,I Salonisti,Poet and Peasant
I Salonisti - Poet and Peasant,1740156913593,True,I Salonisti,Poet and Peasant
I Salonisti - Blue Danube,1738898282739,False,I Salonisti,Blue Danube
I Salonisti - Blue Danube,1738898282739,True,I Salonisti,Blue Danube
I Salonisti - Song Without Words,1738898441819,False,I Salonisti,Song Without Words
I Salonisti - Song Without Words,1738898441819,True,I Salonisti,Song Without Words
I Salonisti - Estudiantina,1738898634797,False,I Salonisti,Estudiantina
I Salonisti - Estudiantina,1738898634797,True,I Salonisti,Estudiantina
I Salonisti - Vision of Salome,1738898798914,False,I Salonisti,Vision of Salome
I Salonisti - Vision of Salome,1738898798914,True,I Salonisti,Vision of Salome
I Salonisti - Titsy Bitsy Girl,1738898896065,False,I Salonisti,Titsy Bitsy Girl
I Salonisti - Titsy Bitsy Girl,1738898896065,True,I Salonisti,Titsy Bitsy Girl
I Salonisti - Alexander's Ragtime Band,1738899046199,False,I Salonisti,Alexander's Ragtime Band
I Salonisti - Alexander's Ragtime Band,1738899046199,True,I Salonisti,Alexander's Ragtime Band
I Salonisti - Sphinx,1738904616626,False,I Salonisti,Sphinx
I Salonisti - Sphinx,1738904616626,True,I Salonisti,Sphinx
I Salonisti - Barcarole,1738913718285,False,I Salonisti,Barcarole
I Salonisti - Barcarole,1738913718285,True,I Salonisti,Barcarole
I Salonisti - Orpheus,1738441501678,False,I Salonisti,Orpheus
I Salonisti - Orpheus,1738441501678,True,I Salonisti,Orpheus
I Salonisti - Song of Autumn,1738441736294,False,I Salonisti,Song of Autumn
I Salonisti - Song of Autumn,1738441736294,True,I Salonisti,Song of Autumn
I Salonisti - Nearer My God to Thee,1738441906593,False,I Salonisti,Nearer My God to Thee
I Salonisti - Nearer My God to Thee,1738441906593,True,I Salonisti,Nearer My God to Thee
John McCormack - It's a Long Way to Tipperary,1738442063465,False,John McCormack,It's a Long Way to Tipperary
John McCormack - It's a Long Way to Tipperary,1738442063465,True,John McCormack,It's a Long Way to Tipperary
The Halfway House Dance Orchestra - Let Me Call You Sweetheart,1738442249782,False,The Halfway House Dance Orchestra,Let Me Call You Sweetheart
The Halfway House Dance Orchestra - Let Me Call You Sweetheart,1738442249782,True,The Halfway House Dance Orchestra,Let Me Call You Sweetheart
Guy Lombardo and His Orchestra - Vilia,1738442416193,False,Guy Lombardo and His Orchestra,Vilia
Guy Lombardo and His Orchestra - Vilia,1738442416193,True,Guy Lombardo and His Orchestra,Vilia
Chick Bullock & His Levee Loungers - My Gal Sal,1738442594792,False,Chick Bullock & His Levee Loungers,My Gal Sal
Chick Bullock & His Levee Loungers - My Gal Sal,1738442594792,True,Chick Bullock & His Levee Loungers,My Gal Sal
Chuck Foster & His Orchestra - Oh! You Beautiful Doll,1738442769296,False,Chuck Foster & His Orchestra,Oh! You Beautiful Doll
Chuck Foster & His Orchestra - Oh! You Beautiful Doll,1738442769296,True,Chuck Foster & His Orchestra,Oh! You Beautiful Doll
Adrian Rollini Trio - Martha,1738442949361,False,Adrian Rollini Trio,Martha
Adrian Rollini Trio - Martha,1738442949361,True,Adrian Rollini Trio,Martha
Duke Ellington and His Orchestra - In the Shade of the Old Apple Tree,1738443141335,False,Duke Ellington and His Orchestra,In the Shade of the Old Apple Tree
Duke Ellington and His Orchestra - In the Shade of the Old Apple Tree,1738443141335,True,Duke Ellington and His Orchestra,In the Shade of the Old Apple Tree
Beatrice Kay - Waiting At the Church,1738443301547,False,Beatrice Kay,Waiting At the Church
Beatrice Kay - Waiting At the Church,1738443301547,True,Beatrice Kay,Waiting At the Church
John Kirby and His Orchestra - Frasquita Serenade,1738443463332,False,John Kirby and His Orchestra,Frasquita Serenade
John Kirby and His Orchestra - Frasquita Serenade,1738443463332,True,John Kirby and His Orchestra,Frasquita Serenade
Hal Kemp - Shine On Harvest Moon,1738443650969,False,Hal Kemp,Shine On Harvest Moon
Hal Kemp - Shine On Harvest Moon,1738443650969,True,Hal Kemp,Shine On Harvest Moon
Mildred Bailey and Her Orchestra - From the Land of the Sky Blue Water (Alternate Take),1738443819487,False,Mildred Bailey and Her Orchestra,From the Land of the Sky Blue Water (Alternate Take)
Mildred Bailey and Her Orchestra - From the Land of the Sky Blue Water (Alternate Take),1738443819487,True,Mildred Bailey and Her Orchestra,From the Land of the Sky Blue Water (Alternate Take)
Maxine Sullivan and Her Orchestra - Loch Lomond,1738443994189,False,Maxine Sullivan and Her Orchestra,Loch Lomond
